Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Parental_bR1	Peptides Parental_bR2	Peptides Parental_bR3	Peptides Resistant_bR1	Peptides Resistant_bR2	Peptides Resistant_bR3	Razor + unique peptides Parental_bR1	Razor + unique peptides Parental_bR2	Razor + unique peptides Parental_bR3	Razor + unique peptides Resistant_bR1	Razor + unique peptides Resistant_bR2	Razor + unique peptides Resistant_bR3	Unique peptides Parental_bR1	Unique peptides Parental_bR2	Unique peptides Parental_bR3	Unique peptides Resistant_bR1	Unique peptides Resistant_bR2	Unique peptides Resistant_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type Parental_bR1	Identification type Parental_bR2	Identification type Parental_bR3	Identification type Resistant_bR1	Identification type Resistant_bR2	Identification type Resistant_bR3	Sequence coverage Parental_bR1 [%]	Sequence coverage Parental_bR2 [%]	Sequence coverage Parental_bR3 [%]	Sequence coverage Resistant_bR1 [%]	Sequence coverage Resistant_bR2 [%]	Sequence coverage Resistant_bR3 [%]	Intensity	Intensity Parental_bR1	Intensity Parental_bR2	Intensity Parental_bR3	Intensity Resistant_bR1	Intensity Resistant_bR2	Intensity Resistant_bR3	LFQ intensity Parental_bR1	LFQ intensity Parental_bR2	LFQ intensity Parental_bR3	LFQ intensity Resistant_bR1	LFQ intensity Resistant_bR2	LFQ intensity Resistant_bR3	MS/MS Count Parental_bR1	MS/MS Count Parental_bR2	MS/MS Count Parental_bR3	MS/MS Count Resistant_bR1	MS/MS Count Resistant_bR2	MS/MS Count Resistant_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|O76003|GLRX3_HUMAN	sp|O76003|GLRX3_HUMAN	4	4	4	>sp|O76003|GLRX3_HUMAN Glutaredoxin-3 OS=Homo sapiens GN=GLRX3 PE=1 SV=2	1	4	4	4	4	2	1	2	2	2	4	2	1	2	2	2	4	2	1	2	2	2	15.5	15.5	15.5	37.432	335	335	0	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	15.5	6.3	3	7.5	7.5	7.5	179200000	37931000	31043000	12872000	42184000	24684000	30488000	26323000	0	0	0	0	0	1	0	0	1	1	1	4				210	1900;2014;3148;4162	True;True;True;True	1906;2020;3155;4170	9383;9384;9385;9386;9938;9939;9940;15503;20610;20611;20612;20613;20614	5829;5830;5831;6169;9672;12867;12868	5829;6169;9672;12868		
sp|O76021|RL1D1_HUMAN	sp|O76021|RL1D1_HUMAN	9	9	9	>sp|O76021|RL1D1_HUMAN Ribosomal L1 domain-containing protein 1 OS=Homo sapiens GN=RSL1D1 PE=1 SV=3	1	9	9	9	7	8	8	0	0	0	7	8	8	0	0	0	7	8	8	0	0	0	23.5	23.5	23.5	54.972	490	490	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	21.6	21.6	19.4	0	0	0	441470000	148630000	125980000	166860000	0	0	0	106290000	112560000	131230000	0	0	0	5	5	7	0	0	0	17				211	491;1033;1045;2813;3398;3998;5843;5912;6422	True;True;True;True;True;True;True;True;True	491;1036;1048;2820;3405;4006;5854;5923;6437	2372;4876;4877;4878;4879;4880;4881;4935;4936;4937;13736;13737;13738;16783;16784;19826;19827;19828;28708;28709;28710;28997;28998;28999;31298;31299	1507;3096;3097;3098;3099;3100;3101;3141;3142;8537;8538;8539;10491;12382;17918;18095;18096;18097;19619	1507;3100;3141;8538;10491;12382;17918;18095;19619		
sp|O76080|ZFAN5_HUMAN	sp|O76080|ZFAN5_HUMAN	1	1	1	>sp|O76080|ZFAN5_HUMAN AN1-type zinc finger protein 5 OS=Homo sapiens GN=ZFAND5 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	8.5	8.5	8.5	23.132	213	213	0.0015163	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	8.5	8.5	8.5	0	0	0	22176000	5645000	7891500	8639200	0	0	0	0	0	7260000	0	0	0	1	1	1	0	0	0	3				212	179	True	179	835;836;837	527;528;529	528		
sp|O76094|SRP72_HUMAN	sp|O76094|SRP72_HUMAN	4	4	4	>sp|O76094|SRP72_HUMAN Signal recognition particle subunit SRP72 OS=Homo sapiens GN=SRP72 PE=1 SV=3	1	4	4	4	4	4	4	4	2	3	4	4	4	4	2	3	4	4	4	4	2	3	9.1	9.1	9.1	74.605	671	671	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.1	9.1	9.1	9.1	3.9	6.1	368990000	98971000	90490000	95903000	33766000	18619000	31241000	55193000	62970000	74532000	29229000	48922000	57900000	4	1	1	1	1	2	10				213	370;1999;2963;3541	True;True;True;True	369;2005;2970;3548	1720;1721;1722;1723;9887;9888;9889;9890;9891;9892;14417;14418;14419;14420;14421;14422;17530;17531;17532;17533;17534	1117;1118;6148;6149;8966;8967;8968;8969;8970;10943;10944	1117;6149;8970;10943		
sp|O94760|DDAH1_HUMAN	sp|O94760|DDAH1_HUMAN	2	2	2	>sp|O94760|DDAH1_HUMAN N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Homo sapiens GN=DDAH1 PE=1 SV=3	1	2	2	2	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0	13	13	13	31.121	285	285	0	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	9.1	9.1	13	0	0	0	71095000	11851000	11696000	47547000	0	0	0	0	0	39957000	0	0	0	1	0	0	0	0	0	1				214	315;2521	True;True	314;2528	1457;12255;12256;12257	934;7626	934;7626		
sp|O94776|MTA2_HUMAN	sp|O94776|MTA2_HUMAN	4	4	4	>sp|O94776|MTA2_HUMAN Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1	1	4	4	4	4	4	3	1	2	2	4	4	3	1	2	2	4	4	3	1	2	2	7.8	7.8	7.8	75.022	668	668	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	7.8	7.8	5.5	1.6	4	4	242570000	81886000	54425000	60456000	14471000	14173000	17154000	37895000	45812000	42110000	0	34793000	36673000	1	3	1	0	0	0	5				215	1176;1694;6734;7619	True;True;True;True	1179;1699;6749;7637	5586;5587;8360;8361;8362;8363;8364;32849;32850;32851;37197;37198;37199;37200;37201;37202	3529;3530;5192;5193;20575;20576;23321;23322	3530;5192;20575;23321		
sp|O94826|TOM70_HUMAN	sp|O94826|TOM70_HUMAN	6	6	6	>sp|O94826|TOM70_HUMAN Mitochondrial import receptor subunit TOM70 OS=Homo sapiens GN=TOMM70 PE=1 SV=1	1	6	6	6	4	6	6	2	1	1	4	6	6	2	1	1	4	6	6	2	1	1	14	14	14	67.454	608	608	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	11.7	14	14	5.6	2.5	2.5	218820000	57909000	72228000	53620000	16814000	9864400	8388800	60079000	34597000	39715000	28855000	0	0	5	3	2	0	0	0	10				216	313;859;895;5384;6383;7722	True;True;True;True;True;True	312;861;897;5395;6398;7740	1451;1452;3990;3991;3992;4169;4170;4171;4172;4173;4174;26603;26604;31128;31129;31130;37697;37698;37699;37700	932;2567;2671;16601;16602;19497;23652;23653;23654;23655	932;2567;2671;16601;19497;23654		
sp|O94892|ZN432_HUMAN	sp|O94892|ZN432_HUMAN	2	2	2	>sp|O94892|ZN432_HUMAN Zinc finger protein 432 OS=Homo sapiens GN=ZNF432 PE=1 SV=1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.1	4.1	4.1	74.835	652	652	0.00079051	By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	2	2	2	2.1	2.1	2.1	132510000	46744000	40289000	37515000	4493300	2654300	814760	0	0	31526000	0	0	0	0	0	1	0	1	0	2				217	5241;5433	True;True	5252;5444	25933;25934;25935;26803;26804;26805	16173;16732	16173;16732		
sp|O94901|SUN1_HUMAN	sp|O94901|SUN1_HUMAN	1	1	1	>sp|O94901|SUN1_HUMAN SUN domain-containing protein 1 OS=Homo sapiens GN=SUN1 PE=1 SV=3	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1.5	1.5	1.5	90.063	812	812	0.0046647	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	1.5	0	1.5	1.5	1.5	604160000	0	8175300	0	108600000	219210000	268170000	0	0	0	0	0	364810000	0	1	0	0	0	0	1				218	6535	True	6550	31853;31854;31855;31856	19973	19973		
sp|O94906|PRP6_HUMAN	sp|O94906|PRP6_HUMAN	3	3	3	>sp|O94906|PRP6_HUMAN Pre-mRNA-processing factor 6 OS=Homo sapiens GN=PRPF6 PE=1 SV=1	1	3	3	3	3	2	3	1	0	1	3	2	3	1	0	1	3	2	3	1	0	1	4.6	4.6	4.6	106.92	941	941	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	4.6	3	4.6	1.8	0	1.8	138910000	47303000	19656000	48162000	14292000	0	9495900	35306000	21220000	33426000	0	0	0	2	1	2	0	0	0	5				219	77;2325;4790	True;True;True	77;2332;4801	338;339;340;11295;11296;23738;23739;23740;23741;23742	226;7036;14804;14805;14806	226;7036;14806		
sp|O94973|AP2A2_HUMAN	sp|O94973|AP2A2_HUMAN	3	3	2	>sp|O94973|AP2A2_HUMAN AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2	1	3	3	2	3	3	3	2	2	2	3	3	3	2	2	2	2	2	2	2	2	2	5.4	5.4	3.5	103.96	939	939	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.4	5.4	5.4	3.5	3.5	3.5	193580000	31770000	28807000	30741000	22449000	38147000	41666000	22641000	24087000	25555000	0	0	0	2	2	1	2	1	2	10				220	5279;6838;7179	True;True;True	5290;6854;7196	26119;26120;26121;26122;26123;26124;33323;33324;33325;33326;33327;33328;33329;33330;33331;33332;35018;35019;35020	16291;20875;20876;20877;20878;20879;20880;20881;21941;21942;21943	16291;20878;21942		
sp|O94979|SC31A_HUMAN	sp|O94979|SC31A_HUMAN	6	6	6	>sp|O94979|SC31A_HUMAN Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=1 SV=3	1	6	6	6	6	4	2	4	4	3	6	4	2	4	4	3	6	4	2	4	4	3	8	8	8	133.01	1220	1220	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8	5.2	3.3	5.8	5.8	3.9	361020000	81428000	58866000	35266000	72643000	61920000	50896000	42606000	38879000	51536000	0	0	0	3	1	1	1	1	1	8				221	1559;1842;2574;3428;3889;6755	True;True;True;True;True;True	1563;1848;2581;3435;3897;6770	7656;7657;7658;7659;7660;7661;7662;7663;9105;9106;9107;9108;9109;12542;12543;12544;16960;16961;16962;16963;16964;16965;19242;32946;32947;32948;32949;32950;32951	4748;4749;4750;5658;7797;10598;10599;10600;10601;12046;20633;20634;20635	4750;5658;7797;10598;12046;20633		
sp|O94992|HEXI1_HUMAN	sp|O94992|HEXI1_HUMAN	1	1	1	>sp|O94992|HEXI1_HUMAN Protein HEXIM1 OS=Homo sapiens GN=HEXIM1 PE=1 SV=1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	4.7	4.7	4.7	40.623	359	359	0.0014782	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	4.7	4.7	0	0	0	0	23688000	11462000	12226000	0	0	0	0	0	10357000	0	0	0	0	1	0	0	0	0	0	1				222	4295	True	4304	21279;21280	13248;13249	13248		
sp|O95202|LETM1_HUMAN	sp|O95202|LETM1_HUMAN	3	3	3	>sp|O95202|LETM1_HUMAN LETM1 and EF-hand domain-containing protein 1, mitochondrial OS=Homo sapiens GN=LETM1 PE=1 SV=1	1	3	3	3	2	3	3	1	0	1	2	3	3	1	0	1	2	3	3	1	0	1	6.2	6.2	6.2	83.353	739	739	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	3.4	6.2	6.2	1.8	0	2.8	123960000	43427000	27381000	38054000	12695000	0	2407900	32896000	25798000	26617000	0	0	0	1	1	3	0	0	0	5				223	4257;4366;6919	True;True;True	4266;4376;6936	21072;21073;21074;21637;21638;21639;21640;33714;33715;33716	13128;13485;13486;13487;21112;21113	13128;13485;21112		
sp|O95232|LC7L3_HUMAN	sp|O95232|LC7L3_HUMAN	3	3	3	>sp|O95232|LC7L3_HUMAN Luc7-like protein 3 OS=Homo sapiens GN=LUC7L3 PE=1 SV=2	1	3	3	3	1	2	3	1	1	2	1	2	3	1	1	2	1	2	3	1	1	2	10	10	10	51.466	432	432	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	4.2	6.7	10	4.2	4.2	7.4	151570000	24832000	24494000	52335000	16470000	15535000	17903000	0	32207000	36090000	0	0	20788000	1	2	2	0	0	0	5				224	4089;6325;7818	True;True;True	4097;6340;7836	20273;20274;20275;20276;20277;20278;30857;30858;38227;38228	12657;12658;12659;19308;23991	12658;19308;23991		
sp|O95292|VAPB_HUMAN	sp|O95292|VAPB_HUMAN	5	5	5	>sp|O95292|VAPB_HUMAN Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens GN=VAPB PE=1 SV=3	1	5	5	5	4	4	5	2	1	2	4	4	5	2	1	2	4	4	5	2	1	2	27.2	27.2	27.2	27.228	243	243	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	23.5	23.5	27.2	9.9	4.5	10.3	1368200000	508900000	374920000	449790000	16974000	2408200	15157000	449920000	244260000	266170000	0	0	99537000	4	3	4	0	0	0	11				225	948;1558;5533;6143;7108	True;True;True;True;True	950;1562;5544;6156;7125	4446;4447;4448;7650;7651;7652;7653;7654;7655;27252;30062;30063;30064;30065;30066;30067;30068;30069;34655;34656;34657;34658;34659;34660;34661;34662	2852;2853;2854;4747;17016;18799;18800;18801;18802;21703;21704;21705;21706;21707	2854;4747;17016;18801;21707		
sp|O95299|NDUAA_HUMAN	sp|O95299|NDUAA_HUMAN	2	2	2	>sp|O95299|NDUAA_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Homo sapiens GN=NDUFA10 PE=1 SV=1	1	2	2	2	2	1	1	0	1	0	2	1	1	0	1	0	2	1	1	0	1	0	9.6	9.6	9.6	40.75	355	355	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	9.6	6.2	6.2	0	3.4	0	96465000	40152000	8495600	7035300	0	40783000	0	27864000	0	0	0	0	0	3	1	1	0	0	0	5				226	4562;7267	True;True	4573;7285	22640;22641;22642;35509;35510	14122;14123;14124;14125;22260	14123;22260		
sp|O95347|SMC2_HUMAN	sp|O95347|SMC2_HUMAN	4	4	4	>sp|O95347|SMC2_HUMAN Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2	1	4	4	4	4	3	3	4	4	3	4	3	3	4	4	3	4	3	3	4	4	3	6.2	6.2	6.2	135.65	1197	1197	0	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.2	4.5	4.5	6.2	6.2	4.5	172830000	28174000	17751000	25543000	57334000	25649000	18379000	18616000	17454000	20990000	56797000	35968000	25142000	0	0	1	5	1	1	8				227	6502;6593;6869;7346	True;True;True;True	6517;6608;6886;7364	31688;31689;31690;31691;31692;31693;32194;32195;32196;32197;32198;32199;33494;33495;33496;33497;33498;33499;33500;33501;35881;35882;35883	19869;19870;19871;19872;20179;20180;20989;20990;22500	19869;20180;20990;22500		
sp|O95359|TACC2_HUMAN	sp|O95359|TACC2_HUMAN	11	11	11	>sp|O95359|TACC2_HUMAN Transforming acidic coiled-coil-containing protein 2 OS=Homo sapiens GN=TACC2 PE=1 SV=3	1	11	11	11	10	10	9	0	2	1	10	10	9	0	2	1	10	10	9	0	2	1	7.1	7.1	7.1	309.42	2948	2948	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	6.2	6.3	6	0	1	0.6	347560000	116110000	112830000	110860000	0	3838000	3927300	115260000	69601000	69356000	0	20567000	0	10	9	8	0	0	0	27				228	22;575;1390;1509;1947;2068;2221;2864;4453;6481;6988	True;True;True;True;True;True;True;True;True;True;True	22;576;1394;1513;1953;2074;2228;2871;4463;6496;7005	92;93;2727;2728;2729;6738;6739;6740;6741;7377;7378;7379;7380;9613;9614;10176;10177;10178;10179;10180;10181;10841;10842;10843;13982;13983;22099;22100;22101;31582;31583;31584;34062;34063;34064	70;71;1732;1733;1734;4199;4200;4571;4572;5977;6331;6332;6333;6334;6335;6747;6748;8683;8684;13771;13772;13773;19808;19809;19810;21331;21332;21333	70;1732;4200;4571;5977;6334;6747;8683;13773;19808;21331		
sp|O95372|LYPA2_HUMAN	sp|O95372|LYPA2_HUMAN	1	1	1	>sp|O95372|LYPA2_HUMAN Acyl-protein thioesterase 2 OS=Homo sapiens GN=LYPLA2 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	11.3	11.3	11.3	24.737	231	231	0	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	11.3	11.3	11.3	0	0	0	18351000	6545100	6137100	5668700	0	0	0	0	0	4763700	0	0	0	0	1	1	0	0	0	2				229	2129	True	2136	10433;10434;10435	6489;6490	6489		
sp|O95373|IPO7_HUMAN;sp|O15397|IPO8_HUMAN	sp|O95373|IPO7_HUMAN	9;1	9;1	9;1	>sp|O95373|IPO7_HUMAN Importin-7 OS=Homo sapiens GN=IPO7 PE=1 SV=1	2	9	9	9	9	8	8	6	7	6	9	8	8	6	7	6	9	8	8	6	7	6	10.8	10.8	10.8	119.52	1038	1038;1037	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.8	9.5	9.5	6.4	7.6	6.4	1048200000	263400000	211970000	171450000	165780000	115390000	120200000	164980000	198940000	165100000	155450000	150790000	163890000	8	8	6	4	4	3	33				230	2019;2135;2253;2702;4021;4501;5299;5910;7374	True;True;True;True;True;True;True;True;True	2025;2142;2260;2709;4029;4512;5310;5921;7392	9951;9952;9953;9954;9955;9956;10463;10464;10465;10466;10467;10468;10972;10973;10974;10975;10976;10977;13136;13137;13138;19945;19946;19947;19948;19949;19950;19951;22385;22386;22387;22388;22389;22390;26233;26234;26235;28992;28993;35993;35994;35995;35996;35997;35998;35999;36000;36001;36002;36003;36004;36005	6175;6176;6177;6178;6179;6512;6513;6514;6515;6516;6517;6836;8167;8168;8169;12451;12452;12453;12454;12455;13954;13955;13956;16354;18091;22578;22579;22580;22581;22582;22583;22584;22585;22586;22587	6176;6515;6836;8168;12454;13956;16354;18091;22578		
sp|O95396|MOCS3_HUMAN	sp|O95396|MOCS3_HUMAN	1	1	1	>sp|O95396|MOCS3_HUMAN Adenylyltransferase and sulfurtransferase MOCS3 OS=Homo sapiens GN=MOCS3 PE=1 SV=1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3.3	3.3	3.3	49.669	460	460	0	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				231	4108	True	4116	20350	12700	12700		
sp|O95433|AHSA1_HUMAN	sp|O95433|AHSA1_HUMAN	3	3	3	>sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1	1	3	3	3	2	3	2	2	1	1	2	3	2	2	1	1	2	3	2	2	1	1	14.2	14.2	14.2	38.274	338	338	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	10.1	14.2	10.1	10.7	4.1	4.1	158900000	57641000	50584000	23479000	12515000	7555300	7124100	37117000	42665000	17735000	17578000	0	0	2	4	2	1	0	0	9				232	124;2138;7146	True;True;True	124;2145;7163	571;572;573;574;10476;10477;10478;34858;34859;34860;34861	370;371;6522;6523;6524;21833;21834;21835;21836	370;6522;21835		
sp|O95470|SGPL1_HUMAN	sp|O95470|SGPL1_HUMAN	1	1	1	>sp|O95470|SGPL1_HUMAN Sphingosine-1-phosphate lyase 1 OS=Homo sapiens GN=SGPL1 PE=1 SV=3	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	2.6	2.6	2.6	63.523	568	568	0.0012763	By MS/MS	By matching	By matching	By matching	By matching	By matching	2.6	0	2.6	0	0	0	36084000	18210000	0	17874000	0	0	0	0	0	15020000	0	0	0	1	0	0	0	0	0	1				233	497	True	497	2401;2402	1521	1521		
sp|O95573|ACSL3_HUMAN	sp|O95573|ACSL3_HUMAN	7	7	6	>sp|O95573|ACSL3_HUMAN Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	1	7	7	6	7	7	6	2	2	1	7	7	6	2	2	1	6	6	5	1	1	0	15.7	15.7	13.2	80.419	720	720	0	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	15.7	15.7	13.6	4.6	4.6	2.5	429510000	156400000	126560000	115770000	14559000	9910400	6304100	92446000	98130000	69300000	45560000	36291000	0	5	5	5	0	1	0	16				234	2218;3419;4522;4780;6352;6612;7662	True;True;True;True;True;True;True	2225;3426;4533;4791;6367;6627;7680	10831;10832;10833;16900;16901;16902;22467;22468;22469;22470;23704;23705;23706;23707;23708;23709;30981;30982;30983;32272;32273;32274;37413;37414;37415	6742;10560;10561;10562;14000;14001;14780;14781;14782;19390;19391;19392;20219;23452;23453;23454	6742;10560;14001;14782;19390;20219;23454		
sp|O95602|RPA1_HUMAN	sp|O95602|RPA1_HUMAN	2	2	2	>sp|O95602|RPA1_HUMAN DNA-directed RNA polymerase I subunit RPA1 OS=Homo sapiens GN=POLR1A PE=1 SV=2	1	2	2	2	2	2	2	2	1	0	2	2	2	2	1	0	2	2	2	2	1	0	1.7	1.7	1.7	194.81	1720	1720	0	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	1.7	1.7	1.7	1.7	0.9	0	103460000	40918000	35035000	15839000	5302000	6365600	0	28099000	24570000	18716000	0	0	0	2	0	1	0	0	0	3				235	60;3439	True;True	60;3446	278;279;280;281;282;17018;17019;17020;17021;17022;17023;17024	191;10633;10634;10635	191;10635		
sp|O95674|CDS2_HUMAN	sp|O95674|CDS2_HUMAN	1	1	1	>sp|O95674|CDS2_HUMAN Phosphatidate cytidylyltransferase 2 OS=Homo sapiens GN=CDS2 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.3	4.3	4.3	51.417	445	445	0.0007728	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	4.3	4.3	4.3	4.3	4.3	4.3	55659000	11028000	12835000	12503000	5952500	6336800	7005000	0	0	0	0	0	9529700	1	1	1	0	0	0	3				236	235	True	235	1096;1097;1098;1099;1100;1101	692;693;694	692		
sp|O95716|RAB3D_HUMAN;sp|P20336|RAB3A_HUMAN	sp|O95716|RAB3D_HUMAN;sp|P20336|RAB3A_HUMAN	1;1	1;1	1;1	>sp|O95716|RAB3D_HUMAN Ras-related protein Rab-3D OS=Homo sapiens GN=RAB3D PE=1 SV=1;>sp|P20336|RAB3A_HUMAN Ras-related protein Rab-3A OS=Homo sapiens GN=RAB3A PE=1 SV=1	2	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	8.7	8.7	8.7	24.267	219	219;220	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	8.7	8.7	8.7	0	0	0	25232000	7742000	8126700	9362900	0	0	0	0	0	7868100	0	0	0	1	1	1	0	0	0	3				237	7684	True	7702	37512;37513;37514	23527;23528;23529	23529		
sp|O95721|SNP29_HUMAN	sp|O95721|SNP29_HUMAN	1	1	1	>sp|O95721|SNP29_HUMAN Synaptosomal-associated protein 29 OS=Homo sapiens GN=SNAP29 PE=1 SV=1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	8.1	8.1	8.1	28.97	258	258	0.0014609	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	8.1	8.1	0	0	0	0	19208000	8360400	10848000	0	0	0	0	0	9189200	0	0	0	0	1	1	0	0	0	0	2				238	6089	True	6102	29822;29823;29824	18641;18642	18642		
sp|O95747|OXSR1_HUMAN;sp|Q9UEW8|STK39_HUMAN	sp|O95747|OXSR1_HUMAN	6;1	6;1	6;1	>sp|O95747|OXSR1_HUMAN Serine/threonine-protein kinase OSR1 OS=Homo sapiens GN=OXSR1 PE=1 SV=1	2	6	6	6	5	6	5	3	2	2	5	6	5	3	2	2	5	6	5	3	2	2	12.5	12.5	12.5	58.022	527	527;545	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	12.5	12.5	12.5	7	4.9	4.9	428870000	148490000	126370000	124450000	10907000	8926400	9722800	116320000	81951000	83427000	43895000	0	0	5	2	1	0	0	0	8				239	1398;2216;2319;2320;4113;6031	True;True;True;True;True;True	1402;2223;2326;2327;4121;6044	6777;6778;6779;6780;6781;6782;6783;6784;6785;10818;10819;10820;10821;10822;10823;10824;11271;11272;11273;11274;11275;11276;11277;20364;20365;20366;29546;29547;29548	4218;4219;4220;6738;6739;7021;7022;12711;18462;18463	4219;6739;7021;7022;12711;18463		
sp|O95757|HS74L_HUMAN	sp|O95757|HS74L_HUMAN	6	5	5	>sp|O95757|HS74L_HUMAN Heat shock 70 kDa protein 4L OS=Homo sapiens GN=HSPA4L PE=1 SV=3	1	6	5	5	4	5	6	1	1	2	3	4	5	1	1	1	3	4	5	1	1	1	10	8.3	8.3	94.511	839	839	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	6.9	8	10	2	1.7	3.3	357670000	103440000	149400000	41244000	1123800	27366000	35101000	69946000	88692000	74359000	0	0	0	1	1	2	0	0	0	4				240	892;1179;1617;2380;5605;6015	True;False;True;True;True;True	894;1182;1621;2387;5616;6028	4155;4156;5599;5600;5601;5602;7951;7952;7953;7954;7955;11528;11529;27578;27579;27580;29480;29481;29482	2665;3538;3539;4904;7174;17221;17222;18422	2665;3539;4904;7174;17222;18422		
sp|O95793|STAU1_HUMAN	sp|O95793|STAU1_HUMAN	3	3	3	>sp|O95793|STAU1_HUMAN Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens GN=STAU1 PE=1 SV=2	1	3	3	3	3	3	3	2	0	0	3	3	3	2	0	0	3	3	3	2	0	0	6.2	6.2	6.2	63.182	577	577	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	6.2	6.2	6.2	4.5	0	0	161590000	71968000	44985000	31095000	13542000	0	0	28075000	36984000	32475000	28726000	0	0	1	2	1	1	0	0	5				241	3542;5056;7522	True;True;True	3549;5067;7540	17535;17536;17537;25061;25062;25063;25064;25065;36711;36712;36713;36714	10945;15613;15614;15615;23022	10945;15613;23022		
