Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
O00425	O00425	8	8	8	Insulin-like growth factor 2 mRNA-binding protein 3	IGF2BP3		1	8	8	8	12.8	12.8	12.8	63.704	579	579	0	51.976	52614	135250	263170	631740	666210	53170	141800	261610	594910	639610	7	7	7	7	7	104480000	8				48	400;692;945;2216;4835;5805;6581;10116	True;True;True;True;True;True;True;True	390;676;930;2200;4829;5805;6585;10126	505;849;1153;2700;5905;7086;8016;12206	552;930;1248;2905;6319;7598;8591;13067	552;930;1248;2905;6319;7598;8591;13067		
O00429	O00429	5	5	5	Dynamin-1-like protein	DNM1L		1	5	5	5	8	8	8	81.876	736	736	0	39.572	29762	76556	149030	360410	373720	30079	80333	148070	339370	358880	5	5	5	5	5	53769000	5				49	1735;3116;5171;7137;10462	True;True;True;True;True	1717;3102;5166;7143;10470	2121;3785;6307;8679;12614	2297;4075;6762;9311;13492	2297;4075;6762;9311;13492		
O00479	O00479	5	2	2	High mobility group nucleosome-binding domain-containing protein 4	HMGN4		1	5	2	2	35.6	18.9	18.9	9.5388	90	90	0	14.09	18413	46956	89651	237200	249970	18571	49648	89643	223160	239480	3	3	3	3	3	48924000	3				50	425;1707;4621;11838;11839	True;True;False;False;False	415;1689;4615;11847;11848	540;2085;2086;5649;14286;14287	591;2257;2258;6048;15268;15269;15270;15271	591;2258;6048;15269;15271		
O00483	O00483	3	3	3	Cytochrome c oxidase subunit NDUFA4	NDUFA4		1	3	3	3	30.9	30.9	30.9	9.3697	81	81	0	18.792	26644	64273	107960	405820	499420	26550	69844	112500	380950	474510	3	3	3	3	3	91791000	3				51	4106;7377;9270	True;True;True	4096;7383;9282	5011;8972;11207	5368;9612;11975	5368;9612;11975		
O00487	O00487	5	5	5	26S proteasome non-ATPase regulatory subunit 14	PSMD14		1	5	5	5	22.3	22.3	22.3	34.577	310	310	0	40.091	54570	131060	252080	671880	668330	54810	138810	251480	632030	640980	5	6	6	6	6	135000000	6				52	652;1449;3188;8507;11776	True;True;True;True;True	636;1434;3174;8514;11783	796;1776;3870;10312;14203;14204	874;1924;4167;11003;15182;15183	874;1924;4167;11003;15183		
O00505	O00505	1	1	1	Importin subunit alpha-4	KPNA3		1	1	1	1	2.5	2.5	2.5	57.81	521	521	0.0020315	6.5025	3239	8272.6	16415	50166	54043	3276.4	8941.6	16584	47109	51611	1	1	1	1	1	6369100	1				53	2276	True	2260	2772	2984	2984		
O00541	O00541	5	5	5	Pescadillo homolog	PES1		1	5	5	5	12.6	12.6	12.6	68.002	588	588	0	69.857	26831	72989	133340	393220	433390	27102	77743	134620	369690	413980	5	5	5	5	5	89636000	5				54	581;3890;6977;7206;12364	True;True;True;True;True	566;3878;6982;7212;12375	717;4727;8460;8758;14939	786;5069;9072;9391;15961	786;5069;9072;9391;15961		
O00566	O00566	2	2	2	U3 small nucleolar ribonucleoprotein protein MPP10	MPHOSPH10		1	2	2	2	2.6	2.6	2.6	78.863	681	681	0	11.997	6364.9	17838	34741	77992	81998	6475.2	18579	34372	73506	78855	1	1	1	1	1	12933000	2				55	2997;12007	True;True	2983;12016	3641;14491	3928;15480	3928;15480		
O00567	O00567	14	14	14	Nucleolar protein 56	NOP56		1	14	14	14	24.7	24.7	24.7	66.049	594	594	0	126.43	128930	311340	586410	1581900	1691100	129420	329400	588070	1488200	1619000	16	16	16	16	16	410420000	17				56	716;2547;2731;3107;4757;5775;6717;7052;7186;7642;8621;11939;12349;12747	True;True;True;True;True;True;True;True;True;True;True;True;True;True	700;2532;2716;3093;4751;5774;6721;7058;7192;7650;8630;11948;12360;12760	876;3101;3102;3317;3775;5813;5814;7047;8169;8548;8735;9288;10446;14407;14408;14924;15425	957;3346;3347;3577;4065;6219;6220;7558;8754;9166;9367;9942;11149;15395;15396;15944;16481	957;3347;3577;4065;6219;7558;8754;9166;9367;9942;11149;15395;15944;16481		
O00571;O15523;Q9NQI0	O00571;O15523	25;18;2	25;18;2	24;17;2	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	;	3	25	25	24	41.8	41.8	40.2	73.243	662	662;660;724	0	220.69	227300	551910	1008000	2935900	3199900	227790	586990	1017500	2760700	3057800	29	29	29	29	29	862180000	32				57	1948;2035;2050;2226;3032;4009;4204;4433;4672;5265;5438;5690;6814;8106;8489;9919;10001;10332;11733;11741;12163;12369;12415;12658;12720	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1931;2018;2033;2210;3018;3999;4195;4426;4666;5260;5435;5688;6819;8116;8497;9928;10011;10340;11740;11748;12174;12380;12426;12669;12732	2380;2480;2481;2497;2498;2711;3685;4871;5132;5423;5706;6427;6636;6947;8277;9835;10292;10293;11957;12055;12461;12462;14151;14152;14160;14161;14691;14945;15000;15314;15391	2572;2675;2676;2692;2693;2916;3974;5217;5495;5799;6110;6891;7117;7451;8871;10506;10983;10984;12798;12901;13332;13333;15125;15126;15135;15136;15693;15969;16026;16027;16363;16446	2572;2676;2692;2916;3974;5217;5495;5799;6110;6891;7117;7451;8871;10506;10984;12798;12901;13333;15125;15136;15693;15969;16026;16363;16446		
O00625	O00625	1	1	1	Pirin	PIR		1	1	1	1	4.1	4.1	4.1	32.113	290	290	0.00055617	7.657	2136.3	4742.2	9155.2	38127	50553	2136.1	5343.6	9709.6	35721	47933	1	1	1	1	1	4698800	1				58	8846	True	8858	10719	11445	11445		
O00629	O00629	5	5	5	Importin subunit alpha-3	KPNA4		1	5	5	5	15.9	15.9	15.9	57.886	521	521	0	48.899	15028	38945	77001	225270	238580	15214	41842	77464	211640	228100	5	5	5	5	5	80010000	6				59	1702;5615;8266;9062;10041	True;True;True;True;True	1684;5613;8276;9074;10052	2080;6851;10036;10037;10977;12117	2252;7348;10714;10715;11725;12973	2252;7348;10715;11725;12973		
O00743	O00743	3	3	3	Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed	PPP6C		1	3	3	3	7.5	7.5	7.5	35.144	305	305	0	19.481	8577.4	21420	38352	91631	103670	8600.5	22263	38320	86386	99384	2	2	2	2	2	34565000	3				60	1504;4145;11268	True;True;True	1488;4136;11274	1842;5055;13580	1997;5414;14520	1997;5414;14520		
O00764	O00764	5	5	5	Pyridoxal kinase	PDXK		1	5	5	5	26.9	26.9	26.9	35.102	312	312	0	56.945	28085	73690	144140	396460	436430	28437	78478	144790	372750	417430	5	5	5	5	5	90056000	5				61	1131;4962;6568;8203;12565	True;True;True;True;True	1118;4956;6572;8213;12576	1390;6052;8003;9960;15205	1498;6484;8577;10634;16248	1498;6484;8577;10634;16248		
O14497	O14497	2	2	2	AT-rich interactive domain-containing protein 1A	ARID1A		1	2	2	2	1.4	1.4	1.4	242.04	2285	2285	0.00059666	10.576	6621	14524	32091	94003	95756	6675.8	15837	32225	88223	91613	2	2	2	2	2	10965000	2				62	5252;10489	True;True	5247;10497	6411;12645	6871;13525	6871;13525		
O14561	O14561	3	3	3	Acyl carrier protein, mitochondrial	NDUFAB1		1	3	3	3	17.9	17.9	17.9	17.417	156	156	0	26.211	33988	87461	158530	494170	539740	34177	93693	160710	464380	515150	3	3	3	3	3	167180000	3				63	7696;7697;8221	True;True;True	7704;7705;8231	9349;9350;9982	10005;10006;10656	10005;10006;10656		
O14579	O14579	2	2	2	Coatomer subunit epsilon	COPE		1	2	2	2	11	11	11	34.482	308	308	0	36.152	5379.5	12150	19258	75452	92498	5322.8	13174	20177	70839	87843	2	2	2	2	2	16560000	2				64	7152;8587	True;True	7158;8595	8699;10408	9331;11109	9331;11109		
O14617	O14617	1	1	1	AP-3 complex subunit delta-1	AP3D1		1	1	1	1	1	1	1	130.16	1153	1153	0.0029441	6.2771	3230.5	7664.2	14970	36672	39464	3247	8056.1	14929	34524	37854	1	1	1	1	1	7967100	1				65	833	True	818	1018	1105	1105		
O14618	O14618	1	1	1	Copper chaperone for superoxide dismutase	CCS		1	1	1	1	2.6	2.6	2.6	29.04	274	274	0.0087882	5.7569	4222	10558	22159	73226	76552	4282.1	11626	22457	68683	73046	1	1	1	1	1	4880600	1				66	8334	True	8341	10114	10794	10794		
O14672	O14672	5	5	5	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10		1	5	5	5	10.6	10.6	10.6	84.141	748	748	0	30.361	13726	38544	75087	184890	196560	13942	40525	74705	174060	188570	4	5	5	5	5	32810000	5				67	4514;5219;6697;9175;12623	True;True;True;True;True	4507;5214;6701;9187;12634	5516;6366;8148;11104;15274	5907;6824;8733;11863;16320	5907;6824;8733;11863;16320		
O14737	O14737	7	7	7	Programmed cell death protein 5	PDCD5		1	7	7	7	47.2	47.2	47.2	14.285	125	125	0	48.949	70056	162680	281340	923630	1054900	69771	174380	287870	867910	1005300	8	8	8	8	8	229310000	8				68	5302;6928;7002;8999;12175;12200;12632	True;True;True;True;True;True;True	5297;6933;7007;9011;12186;12211;12643	6475;8403;8488;8489;10905;14705;14735;15284	6943;9011;9100;9101;11650;15707;15738;16330	6943;9011;9100;11650;15707;15738;16330		
O14744	O14744	6	6	6	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	PRMT5		1	6	6	6	10.4	10.4	10.4	72.683	637	637	0	41.585	49624	123050	228430	727400	817120	49855	132570	232460	683250	779250	6	6	6	6	6	92248000	6				69	2053;2965;9892;11016;12454;12804	True;True;True;True;True;True	2036;2951;9902;11023;12465;12818	2502;3607;11928;13291;15069;15496	2697;3894;12767;14219;16108;16556	2697;3894;12767;14219;16108;16556		
O14745	O14745	6	6	6	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	SLC9A3R1		1	6	6	6	23.5	23.5	23.5	38.868	358	358	0	48.096	38504	93801	175690	459290	481640	38654	98840	175640	432280	461590	5	6	6	6	6	80200000	6				70	614;1147;2525;8118;9525;10566	True;True;True;True;True;True	599;1134;2510;8128;9537;10574	756;1411;3078;9849;11494;12741	828;1523;3322;10520;12282;13628	828;1523;3322;10520;12282;13628		
O14776	O14776	4	4	4	Transcription elongation regulator 1	TCERG1		1	4	4	4	3.6	3.6	3.6	123.9	1098	1098	0	27.217	14206	35180	68945	178590	175750	14324	37217	68586	168010	168700	3	3	3	3	3	28752000	4				71	917;4449;4876;10433	True;True;True;True	902;4442;4870;10441	1116;5440;5953;12577	1207;5818;6373;13453	1207;5818;6373;13453		
O14787	O14787	4	2	2	Transportin-2	TNPO2		1	4	2	2	6.1	4.1	4.1	101.39	897	897	0	16.584	2795.8	7239.9	18829	35624	40405	2897.3	7632.9	18504	33526	38952	2	2	2	2	2	10237000	2				72	2126;4273;8327;10256	False;True;True;False	2110;4264;8335;10264	2592;5217;10107;12374	2790;5583;10787;13238	2790;5583;10787;13238		
O14791	O14791	1	1	1	Apolipoprotein L1	APOL1		1	1	1	1	1.8	1.8	1.8	43.974	398	398	0.0038685	6.1425	15053	36158	77435	147300	143030	15244	37409	75806	138960	138490	2	2	2	2	2	90439000	2				73	398	True	388	502;503	549;550	550		
O14818;Q8TAA3	O14818	12;2	12;2	12;2	Proteasome subunit alpha type-7	PSMA7		2	12	12	12	44.4	44.4	44.4	27.887	248	248;256	0	114.09	198760	470400	911750	2583200	2797300	199630	502180	917860	2428200	2674900	15	15	15	15	15	591960000	15				74	903;1944;4969;5523;5881;6552;8090;8786;9091;11589;12826;12827	True;True;True;True;True;True;True;True;True;True;True;True	888;1927;4963;5520;5881;6556;8100;8798;9103;11595;12840;12841	1100;1101;2375;2376;6060;6734;7183;7184;7985;9815;10649;11009;13965;15521;15522	1190;1191;2567;2568;6493;7224;7697;7698;8559;10486;11371;11759;14930;16584;16585	1191;2567;6493;7224;7698;8559;10486;11371;11759;14930;16584;16585		
O14828	O14828	4	4	4	Secretory carrier-associated membrane protein 3	SCAMP3		1	4	4	4	14.4	14.4	14.4	38.287	347	347	0	31.553	36092	91369	177400	513420	590440	36427	97813	179430	482490	563750	5	5	5	5	5	66747000	5				75	1193;7985;9082;10875	True;True;True;True	1180;7995;9094;10882	1464;1465;9691;11000;13112	1582;1583;10359;11750;14028	1582;10359;11750;14028		
O14925;Q5SRD1	O14925;Q5SRD1	1;1	1;1	1;1	Mitochondrial import inner membrane translocase subunit Tim23;Putative mitochondrial import inner membrane translocase subunit Tim23B	TIMM23;TIMM23B	;	2	1	1	1	4.8	4.8	4.8	21.943	209	209;257	0.00054496	7.3319	4027.1	10308	24104	59632	66144	4128.4	11075	24025	56023	63390	1	1	1	1	1	4496600	1				76	8351	True	8359	10136	10818	10818		
O14929	O14929	6	6	6	Histone acetyltransferase type B catalytic subunit	HAT1		1	6	6	6	13.4	13.4	13.4	49.512	419	419	0	43.895	38480	99166	188450	521300	566840	38827	105320	189310	490250	542230	5	5	5	5	5	108240000	6				77	587;7104;7482;7921;9752;11520	True;True;True;True;True;True	572;7110;7490;7931;9764;11527	725;8614;9101;9621;11769;13885	796;9234;9746;10285;12588;14849	796;9234;9746;10285;12588;14849		
O14933	O14933	2	2	2	Ubiquitin/ISG15-conjugating enzyme E2 L6	UBE2L6		1	2	2	2	14.4	14.4	14.4	17.769	153	153	0	19.17	28350	66691	125800	320430	312300	28413	70131	125110	301650	299970	3	3	3	3	3	66356000	3				78	3044;8306	True;True	3030;8314	3699;3700;10083	3988;3989;10762	3988;10762		
O14949	O14949	2	2	2	Cytochrome b-c1 complex subunit 8	UQCRQ		1	2	2	2	22	22	22	9.9062	82	82	0	13.219	15016	37485	72521	180540	181050	15136	39429	72066	169950	173870	2	2	2	2	2	68845000	2				79	1587;6720	True;True	1570;6724	1943;8172	2107;8757	2107;8757		
P19105;O14950;P24844	P19105;O14950;P24844	7;7;6	7;7;6	7;7;6	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9	MYL12A;MYL12B;MYL9	;;	3	7	7	7	47.4	47.4	47.4	19.794	171	171;172;172	0	84.597	110650	270890	523870	1436500	1545400	111380	288000	525840	1350800	1478900	9	9	9	9	9	547760000	9				80	1388;1836;2493;2559;3104;4030;5300	True;True;True;True;True;True;True	1373;1819;2478;2544;3090;4020;5295	1688;2244;3039;3117;3772;4914;4915;6473	1823;2425;3279;3365;4062;5266;5267;5268;6941	1823;2425;3279;3365;4062;5267;6941		
O14964	O14964	2	2	2	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS		1	2	2	2	2.7	2.7	2.7	86.191	777	777	0.00059988	10.691	4262.2	13897	24940	82869	96782	4361	14988	25475	77832	92178	2	2	2	2	2	6431600	2				81	3351;11491	True;True	3337;11498	4059;13851	4367;14809	4367;14809		
O14974	O14974	1	1	1	Protein phosphatase 1 regulatory subunit 12A	PPP1R12A		1	1	1	1	0.7	0.7	0.7	115.28	1030	1030	0.0056444	5.889	6332.7	20836	36789	98935	97426	6475.6	21883	36603	93149	93442	1	1	1	1	1	4733200	1				82	10227	True	10235	12336	13198	13198		
O14979;REV__Q8N0S2;REV__Q9ULL8;Q9ULL8	O14979	13;1;1;1	12;1;1;1	12;1;1;1	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL		4	13	12	12	27.6	25.7	25.7	46.437	420	420;351;1493;1493	0	118.97	141020	323390	610840	1961400	2236800	141110	349550	623220	1841900	2132300	15	15	15	15	15	672860000	15				83	1647;2866;3609;4371;4392;6350;8390;8391;8977;9418;9590;11686;12649	True;True;True;True;False;True;True;True;True;True;True;True;True	1629;2851;3596;4362;4384;6354;8396;8397;8989;9430;9602;11693;12660	2015;3483;4365;5337;5365;5366;7757;10176;10177;10178;10879;11373;11374;11587;14092;15304	2182;2183;3762;4686;5711;5739;5740;8314;10861;10862;10863;11621;12151;12152;12385;15062;16351	2182;3762;4686;5711;5739;8314;10861;10863;11621;12152;12385;15062;16351		
O14980	O14980	15	15	15	Exportin-1	XPO1		1	15	15	15	16.7	16.7	16.7	123.38	1071	1071	0	120.64	132310	326720	603720	1786600	1994900	132810	348620	610880	1679500	1904900	17	18	18	18	18	384070000	19				84	1469;2042;2301;2869;3250;3466;3910;6227;8271;8280;8959;9357;10292;11219;12861	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1454;2025;2285;2854;3236;3452;3898;6230;8281;8290;8971;9369;10300;11225;12875	1801;2488;2803;2804;3486;3944;4193;4751;7613;10045;10055;10860;11305;11306;12416;12417;13520;15561;15562	1955;2683;3020;3021;3765;4246;4509;5093;8155;10723;10734;11599;12080;12081;13283;13284;14457;16627;16628	1955;2683;3020;3765;4246;4509;5093;8155;10723;10734;11599;12081;13283;14457;16627		
O15027	O15027	2	2	2	Protein transport protein Sec16A	SEC16A		1	2	2	2	2.3	2.3	2.3	233.51	2179	2179	0	12.583	0	828.74	1215.7	2627.1	2484.8	0	839.98	1181.3	2488.2	2398.6	0	1	1	1	1	2213100	2				85	1698;9954	True;True	1680;9963	2075;11997	2247;12839	2247;12839		
O15042	O15042	7	7	7	U2 snRNP-associated SURP motif-containing protein	U2SURP		1	7	7	7	7.2	7.2	7.2	118.29	1029	1029	0	46.348	23170	51009	105430	333660	360640	23259	55700	106950	313110	344180	7	7	7	7	7	45375000	7				86	3962;6751;7105;8234;8863;11451;12791	True;True;True;True;True;True;True	3950;6756;7111;8244;8875;11458;12805	4810;8209;8615;9998;10741;13799;15481	5154;8799;9235;10675;11467;14752;16540	5154;8799;9235;10675;11467;14752;16540		
O15067	O15067	9	9	9	Phosphoribosylformylglycinamidine synthase	PFAS		1	9	9	9	8.4	8.4	8.4	144.73	1338	1338	0	55.984	36850	95329	185320	471720	511090	37220	100560	185110	443910	489760	8	9	9	9	9	70845000	9				87	276;1666;1798;2557;3903;4260;7794;11712;11744	True;True;True;True;True;True;True;True;True	269;1648;1780;2542;3891;4251;7804;11719;11751	353;2035;2195;3115;4742;5203;9476;14125;14164	389;2203;2374;3363;5084;5568;10135;15098;15139	389;2203;2374;3363;5084;5568;10135;15098;15139		
O15127	O15127	1	1	1	Secretory carrier-associated membrane protein 2	SCAMP2		1	1	1	1	4	4	4	36.648	329	329	0.0015584	6.7485	4793.5	8715	16781	51309	60700	4737.4	9384	17160	48196	57876	2	2	2	2	2	16177000	2				88	206	True	201	247	275;276	275		
O15143	O15143	3	3	3	Actin-related protein 2/3 complex subunit 1B	ARPC1B		1	3	3	3	8.6	8.6	8.6	40.949	372	372	0	21.564	26870	65020	124430	344100	386420	27006	69111	125350	323580	369420	3	3	3	3	3	70990000	3				89	1300;3979;10200	True;True;True	1285;3967;10208	1587;4829;12307	1718;5175;13169	1718;5175;13169		
O15144	O15144	8	8	8	Actin-related protein 2/3 complex subunit 2	ARPC2		1	8	8	8	24	24	24	34.333	300	300	0	52.866	105590	250140	511310	1367900	1554000	106460	266900	514080	1285900	1486200	9	9	9	9	9	224440000	9				90	1744;2151;2418;5746;8454;8723;11673;12601	True;True;True;True;True;True;True;True	1726;2135;2402;5745;8461;8735;11680;12612	2132;2625;2950;7012;10251;10574;14073;15246;15247	2308;2825;3179;7522;10940;11286;15043;16292;16293	2308;2825;3179;7522;10940;11286;15043;16292		
O15145	O15145	6	6	6	Actin-related protein 2/3 complex subunit 3	ARPC3		1	6	6	6	42.1	42.1	42.1	20.546	178	178	0	47.417	67291	152040	269570	941760	1138400	66978	164800	278600	884200	1083000	6	7	7	7	7	189920000	7				91	1586;2299;3210;7451;11652;12497	True;True;True;True;True;True	1569;2283;3196;7458;11658;12508	1942;2801;3900;9061;9062;14043;15120	2106;3018;4199;9705;9706;15012;16160	2106;3018;4199;9705;15012;16160		
O15160	O15160	3	3	3	DNA-directed RNA polymerases I and III subunit RPAC1	POLR1C		1	3	3	3	9.2	9.2	9.2	39.249	346	346	0	17.136	10494	26332	65730	143550	155120	10802	28086	64940	134950	149170	3	3	3	3	3	24866000	3				92	3871;4023;7370	True;True;True	3859;4013;7376	4703;4895;8964	5045;5242;9604	5045;5242;9604		
O15173	O15173	1	1	1	Membrane-associated progesterone receptor component 2	PGRMC2		1	1	1	1	6.3	6.3	6.3	23.818	223	223	0.00056085	7.8292	3016.9	7818.9	14866	52668	60165	3045.5	8573.5	15266	49413	57267	1	1	1	1	1	10940000	1				93	4099	True	4089	5003	5360	5360		
O15212	O15212	4	4	4	Prefoldin subunit 6	PFDN6		1	4	4	4	23.3	23.3	23.3	14.582	129	129	0	33.884	32628	77870	141280	400850	430840	32647	82508	142280	377060	412030	4	4	4	4	4	81391000	5				94	3460;6675;7878;9628	True;True;True;True	3446;6679;7888;9640	4185;4186;8125;9572;11633	4501;4502;8709;10232;12434	4502;8709;10232;12434		
O15213	O15213	2	2	1	WD repeat-containing protein 46	WDR46		1	2	2	1	2.8	2.8	1.3	68.07	610	610	0.0005872	9.5314	6807.7	15253	32388	77825	79585	6854.9	16146	32164	73213	76460	1	1	1	1	1	8012200	1				95	1077;8377	True;True	1063	1318	1423	1423		
O15234	O15234	1	1	1	Protein CASC3	CASC3		1	1	1	1	1.6	1.6	1.6	76.277	703	703	0.00056022	7.8042	4998.2	13505	29136	60628	60418	5112.4	14103	28627	57122	58299	1	1	1	1	1	9872800	1				96	4958	True	4952	6048	6480	6480		
O15247	O15247	4	4	3	Chloride intracellular channel protein 2	CLIC2		1	4	4	3	30	30	22.7	28.356	247	247	0	49.495	14992	35751	78838	209950	213890	15207	38483	78633	197220	205040	3	3	3	3	3	69772000	3				97	636;2695;7281;10048	True;True;True;True	621;2680;7287	780;3277;8850	856;3537;9486	856;3537;9486		
O15258	O15258	1	1	1	Protein RER1	RER1		1	1	1	1	4.1	4.1	4.1	22.958	196	196	0.0015504	6.7058	7481.9	18716	33250	80807	81172	7499	19469	33037	76172	77997	1	1	1	1	1	25190000	1				98	12657	True	12668	15313	16362	16362		
O15260	O15260	4	4	4	Surfeit locus protein 4	SURF4		1	4	4	4	18.2	18.2	18.2	30.394	269	269	0	43.891	33985	86929	158160	419810	456590	34169	91463	158570	395170	437120	5	5	5	5	5	241060000	5				99	4935;7101;9506;10273	True;True;True;True	4929;7107;9518;10281	6020;6021;8611;11471;12394	6449;6450;9231;12258;13260	6449;9231;12258;13260		
O15305	O15305	8	8	8	Phosphomannomutase 2	PMM2		1	8	8	8	35	35	35	28.082	246	246	0	54.334	43664	98955	201950	524480	568420	43882	105200	202180	493190	544460	9	9	9	9	9	98346000	9				100	162;3165;5432;5598;11089;11090;11100;12125	True;True;True;True;True;True;True;True	159;3151;5429;5596;11096;11097;11107;12136	195;196;3847;6629;6830;13377;13378;13392;14647	211;212;4140;7109;7326;14310;14311;14325;15647	211;4140;7109;7326;14310;14311;14325;15647		
Q8IX95;O15320	Q8IX95;O15320	1;1	1;1	1;1	Putative cTAGE family member 3;cTAGE family member 5	CTAGE3P;CTAGE5	;	2	1	1	1	5.1	5.1	5.1	18.015	158	158;804	0.0074662	5.8305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				101	3334	True	3320	4042	4349	4349		
O15347	O15347	6	5	5	High mobility group protein B3	HMGB3		1	6	5	5	36	32.5	32.5	22.98	200	200	0	35.991	51555	123290	236830	661600	733620	51739	131260	238570	622050	701380	5	6	6	6	6	226740000	6				102	4635;6355;6605;6722;10164;10539	True;False;True;True;True;True	4629;6359;6609;6726;10174;10547	5664;7762;8042;8174;12265;12707;12708	6064;8319;8618;8759;13126;13593;13594	6064;8319;8618;8759;13126;13593		
O15355	O15355	10	10	10	Protein phosphatase 1G	PPM1G		1	10	10	10	24.9	24.9	24.9	59.271	546	546	0	70.361	62518	148000	280470	750980	815200	62700	156570	281460	706520	780330	10	10	10	10	10	212640000	10				103	709;710;844;1591;1638;3028;5058;7807;8080;11401	True;True;True;True;True;True;True;True;True;True	693;694;829;1573;1620;3014;5052;7817;8090;11408	869;870;1032;1946;2004;3681;6166;9492;9803;13740	950;951;1119;2111;2170;3969;6608;10151;10474;14687	950;951;1119;2111;2170;3969;6608;10151;10474;14687		
O15371	O15371	12	12	12	Eukaryotic translation initiation factor 3 subunit D	EIF3D		1	12	12	12	28.8	28.8	28.8	63.972	548	548	0	113.47	99703	243320	461250	1416100	1550900	100200	261610	467220	1330300	1480600	13	13	13	13	13	295190000	14				104	2119;2711;3926;7331;9918;10632;11054;11410;12477;12698;12703;12736	True;True;True;True;True;True;True;True;True;True;True;True	2103;2696;3914;7337;9927;10640;11061;11417;12488;12709;12714;12749	2583;2584;3294;4768;8914;11955;11956;12818;13334;13750;15095;15360;15366;15412	2781;2782;3554;5110;9553;12796;12797;13706;14264;14698;16135;16412;16418;16468	2781;3554;5110;9553;12797;13706;14264;14698;16135;16412;16418;16468		
O15372	O15372	8	8	8	Eukaryotic translation initiation factor 3 subunit H	EIF3H		1	8	8	8	19.3	19.3	19.3	39.93	352	352	0	57.874	45357	107170	210350	619740	742270	45591	115140	213820	582240	708030	9	9	9	9	9	130930000	9				105	2838;4343;6402;7279;8881;9395;9712;11519	True;True;True;True;True;True;True;True	2823;4334;6406;7285;8893;9407;9724;11526	3449;5304;7811;7812;8847;10762;11349;11726;13884	3726;5676;8372;8373;9483;11491;12127;12539;14848	3726;5676;8372;9483;11491;12127;12539;14848		
O15400	O15400	1	1	1	Syntaxin-7	STX7		1	1	1	1	5	5	5	29.815	261	261	0.0010599	6.9362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				106	2747	True	2732	3335	3595	3595		
O15498	O15498	1	1	1	Synaptobrevin homolog YKT6	YKT6		1	1	1	1	3.5	3.5	3.5	22.417	198	198	0.0087841	5.7569	8851	20237	41288	90991	91643	8900.3	21136	40800	85727	88267	1	1	1	1	1	13898000	1				107	2464	True	2449	3006	3242	3242		
